,doc_id,sentence
839,50,"and fainter, too, as wiseness is—"
840,50,"i find myself still softly searching"
841,50,for my delinguent palaces—
842,50,""
843,50,"and a suspicion, like a finger"
844,50,"touches my forehead now and then"
845,50,"that i am looking oppositely"
846,50,for the site of the kingdom of heaven—
847,51,"a man may make a remark—"
848,51,"in itself—a quiet thing"
849,51,"that may furnish the fuse unto a spark"
850,51,in dormant nature—lain—
851,51,""
852,51,"let us deport—with skill—"
853,51,"let us discourse—with care—"
854,51,"powder exists in charcoal—"
855,51,"before it exists in fire,"
856,52,283
857,52,""
858,52,"a mien to move a queen—"
859,52,"half child—half heroine—"
860,52,"an orleans in the eye"
861,52,"that puts its manner by"
862,52,"for humbler company"
863,52,"when none are near"
864,52,"even a tear—"
865,52,its frequent visitor—
866,52,""
867,52,"a bonnet like a duke—"
868,52,"and yet a wren's peruke"
869,52,"were not so shy"
870,52,"of goer by—"
871,52,"and hands—so slight—"
872,52,"they would elate a sprite"
873,52,with merriment—
874,52,""
875,52,"a voice that alters—low"
876,52,"and on the ear can go"
877,52,"like let of snow—"
878,52,"or shift supreme—"
879,52,"as tone of realm"
880,52,on subjects diadem—
881,52,""
882,52,"too small—to fear—"
883,52,"too distant—to endear—"
884,52,"and so men compromise"
885,52,and just—revere—
886,53,841
887,53,""
888,53,"a moth the hue of this"
889,53,"haunts candles in brazil,"
890,53,"nature's experience would make"
891,53,"our reddest second pale,"
892,53,""
893,53,"nature is fond, i sometimes think,"
894,53,"of trinkets, as a girl,"
895,54,416
896,54,""
897,54,"a murmur in the trees—to note—"
898,54,"not loud enough—for wind—"
899,54,"a star—not far enough to seek—"
900,54,nor near enough—to find—
901,54,""
902,54,"a long—long yellow—on the lawn—"
903,54,"a hubbub—as of feet—"
904,54,"not audible—as ours—to us—"
905,54,but dapperer—more sweet—
906,54,""
907,54,"a hurrying home of little men"
908,54,"to houses unperceived—"
909,54,"all this—and more—if i should tell—"
910,54,would never be believed—
911,54,""
912,54,"of robins in the trundle bed"
913,54,"how many i espy"
914,54,"whose nightgowns could not hide the wings—"
915,54,although i heard them try—
916,54,""
917,54,"but then i promised ne'er to tell—"
918,54,"how could i break my word?"
919,54,"so go your way—and i'll go mine—"
920,54,"no fear you'll miss the road,"
921,55,"a narrow fellow in the grass"
922,55,"occasionally rides;"
923,55,"you may have met him,--did you not,"
924,55,"his notice sudden is,"
925,55,""
926,55,"the grass divides as with a comb,"
927,55,"a spotted shaft is seen;"
928,55,"and then it closes at your feet"
929,55,"and opens further on,"
930,55,""
931,55,"he likes a boggy acre,"
932,55,"a floor too cool for corn,"
933,55,"yet when a child, and barefoot,"
934,55,"i more than once, at morn,"
935,55,""
936,55,"have passed, i thought, a whip-lash"
937,55,"unbraiding in the sun,--"
938,55,"when, stooping to secure it,"
939,55,"it wrinkled, and was gone,"
940,55,""
941,55,"several of nature's people"
942,55,"i know, and they know me;"
943,55,"i feel for them a transport"
944,55,of cordiality;
945,55,""
946,55,"but never met this fellow,"
947,55,"attended or alone,"
948,55,"without a tighter breathing,"
949,55,"and zero at the bone,"
950,56,963
951,56,""
952,56,"a nearness to tremendousness—"
953,56,"an agony procures—"
954,56,"affliction ranges boundlessness—"
955,56,vicinity to laws
956,56,""
957,56,"contentment's quiet suburb—"
958,56,"affliction cannot stay"
959,56,"in acres—its location"
960,56,is illocality—
961,57,471
962,57,""
963,57,"a night—there lay the days between—"
964,57,"the day that was before—"
965,57,"and day that was behind—were one—"
966,57,and now—'twas night—was here—
967,57,""
968,57,"slow—night—that must be watched away—"
969,57,"as grains upon a shore—"
970,57,"too imperceptible to note—"
971,57,till it be night—no more—
972,58,806
973,58,""
974,58,"a planted life—diversified"
975,58,"with gold and silver pain"
976,58,"to prove the presence of the ore"
977,58,in particles—'tis when
978,58,""
979,58,"a value struggle—it exist—"
980,58,"a power—will proclaim"
981,58,"although annihilation pile"
982,58,whole chaoses on him—
983,59,"a poor—torn heart—a tattered heart—"
984,59,"that sat it down to rest—"
985,59,"nor noticed that the ebbing day"
986,59,"flowed silver to the west—"
987,59,"nor noticed night did soft descend—"
988,59,"nor constellation burn—"
989,59,"intent upon the vision"
990,59,"of latitudes unknown,"
991,59,""
992,59,"the angels—happening that way"
993,59,"this dusty heart espied—"
